ingredient_name,allergen_info,health_conditions,Not_Suitable_for_Diets,description
Semolina,Wheat,celiac disease,Gluten-Free,"A coarse flour made from durum wheat, commonly used in pasta, bread, and desserts like puddings and porridge."
Refined wheat flour,Wheat,Celiac Disease,Gluten-Free,"A finely milled and bleached flour made from wheat, commonly used in baking, pasta, and processed foods."
Refined palm oil,0,Heart Disease,0,"A highly processed vegetable oil extracted from palm fruit, widely used in cooking, processed foods, and cosmetics."
Baking powder,0,0,0,A leavening agent used in baking to help dough rise by releasing carbon dioxide when mixed with liquid and heat.
Cornstarch,0,Diabetes,"Low-Carb, Keto, Atkins, Paleo",A fine powder used as a thickener.
Honey Powder,0,Diabetes,"Low-Carb, Keto, Atkins, Paleo",Dehydrated honey used as a natural sweetener
Tomato Puree,0,0,0,"A thick, smooth paste made from cooked tomatoes."
Dicalcium Phosphate,0,0,0,A calcium and phosphate supplement used in food and supplements.
BHT,0,0,0,A synthetic antioxidant used to preserve fats and oils in processed foods.
White Vinegar,0,0,0,"A highly acidic liquid used for cooking, pickling, and cleaning."
Banana Pulp,0,Diabetes,"Low-Carb, Keto, Atkins","Mashed banana used in smoothies, baking, and desserts."
Concentrated Lemons,0,Acid Reflux,"Low-Acid, GERD-Friendly",A highly acidic lemon extract for flavor.
Papaya Pulp,Papaya,Diabetes,"Low-Carb, Keto, Atkins",Mashed papaya used in smoothies and desserts.
Pear Pulp,0,Diabetes,"Low-Carb, Keto, Atkins",Mashed pear used in beverages and baking.
Apple Juice,0,Diabetes,"Low-Carb, Keto, Atkins","Pressed apple liquid, naturally high in sugar."
Pineapple Juice,0,"Acid Reflux, Diabetes","Low-Acid, Low-Carb, Keto",Sweet and acidic juice from pineapples.
Orange Juice,0,"Acid Reflux, Diabetes","Low-Acid, Low-Carb, Keto",Citrus juice high in vitamin C.
Mango Pulp,Mango,Diabetes,"Low-Carb, Keto, Atkins",Mashed mango used in desserts and drinks.
Grape Juice,0,Diabetes,"Low-Carb, Keto, Atkins",Naturally sweet juice from grapes.
Thickener (440) (Pectin),0,0,0,A natural gelling agent from fruits.
Preservative (202) (Potassium Sorbate),0,0,Preservative-Free,A synthetic preservative to prevent mold.
Vitamin B3 (Niacin),0,0,0,A water-soluble vitamin essential for metabolism.
Dairy-Based Dessert with White Chocolate & Raspberries,"Milk, Soy","Lactose Intolerance, High Cholesterol","Vegan, Dairy-Free","A creamy dessert containing milk, chocolate, and fruit."
Whipping Cream (Milk),Milk,"Lactose Intolerance, High Cholesterol","Vegan, Dairy-Free",A high-fat dairy product used for whipping.
Full Fat Soft Cheese (Milk) (21%),Milk,"Lactose Intolerance, High Cholesterol","Vegan, Dairy-Free",A creamy cheese used in desserts and spreads.
White Chocolate (20%),"Milk, Soy","Lactose Intolerance, Diabetes","Vegan, Dairy-Free, Low-Carb",Sweetened chocolate with cocoa butter and milk solids.
Raspberries (3.5%),0,0,0,Small red berries rich in antioxidants.
Raspberry Pur�e (1%),0,0,0,Blended raspberries used for flavoring.
Cornflour,0,Diabetes,"Low-Carb, Keto, Paleo",A fine white powder used for thickening.
Pork Gelatine,0,0,"Vegan, Vegetarian",A gelling agent derived from pork.
Dried Whole Milk,Milk,Lactose Intolerance,"Vegan, Dairy-Free",Powdered milk with full-fat content.
Dried Skimmed Milk,Milk,Lactose Intolerance,"Vegan, Dairy-Free",Powdered milk with reduced fat.
Milk Fat,Milk,High Cholesterol,"Vegan, Dairy-Free","The fat portion of milk, used in dairy products."
Colouring Agent: Anthocyanins (from Carrot),0,0,0,Natural pigment from carrots for color.
Colouring Agent: E172 (Iron Oxides & Hydroxides),0,0,0,Mineral-based food coloring.
Colouring Agent: E120 (Cochineal/Carminic Acid),Insects,0,Vegan,A red coloring derived from insects.
Emulsifier: E476 (Polyglycerol Polyricinoleate - PGPR),0,0,0,A synthetic emulsifier used in chocolate.
Coconut Oil,Coconut,Heart Disease,"Low-Fat, Heart-Healthy",A plant-based oil high in saturated fats.
Shea Oil,0,0,0,A natural fat extracted from shea nuts.
Concentrated Radishes,0,0,0,Highly condensed radish extract for flavor and color.
Fat Reduced Cocoa Powder,0,0,0,Cocoa powder with lower fat content.
Glazing Agent: Beeswax,Bee Products,0,Vegan,A natural wax used for coating and glazing.
Concentrated Blackcurrants,0,0,0,A strong-flavored extract from blackcurrants.
Stabiliser: Gum Arabic,0,0,0,A natural thickener from acacia trees.
